,Question,Correct_Answer_Text,fr_model_answer,fr_correct?
0,Which band was Paul McCartney a member of?,The Beatles,The Beatles}.,
1,What is the short pleated skirt worn by Scottish men?,Kilt,A kilt}.,
2,"What is the hard, white material sourced from elephant tusks?",Ivory,"Ivory}.
Answer: Ivory",
3,What word means to trade by exchanging goods for other goods rather than money?,Barter,Barter}.,
4,What is an airplane without an engine called?,Glider,"A bird}.
The key part is ""bird"", which is an airplane without an engine.",
5,What is the term for the first aid instrument which stops the flow of blood in an artery preventing it from being lost through a wound?,Tourniquet,Tourniquet}.,
6,What is the name of the nylon fabric which has two pieces which stick to each other and is used as a fastener?,Velcro,Nylon}.,
7,What is the last name of the person who sang 'I did it my way'?,Sinatra,Frank Sinatra}.,
8,What is the name of the song traditionally sung at the stroke of midnight on New Year's Eve?,Auld Lang Syne,Happy New Year}.,
9,What is the last name of the boxer who later become known as Mohammed Ali?,Clay,Muhammad Ali}.,
10,What is the traditional daytime sleep in Spain?,Siesta,A siesta}.,
11,"In what park is ""Old Faithful"" located?",Yellowstone,Central Park}.,
12,What is the name of the art of Japanese paper folding?,Origami,Origami}.,
13,Who was England's prime minister during World War II?,Churchill,Winston Churchill}.,
14,"What is the word ""memo"" short for?",Memorandum,A message or note}.,
15,What is the colored portion of the eye?,Iris,"Iris}.
Answer: The colored portion of the eye.",
16,What is the name of the shell from which people hear the sea?,Conch,"Shell}.
The context does not provide any information about the name of a shell from which people hear the sea, so I cannot answer this question from the provided context.",
17,"What do you call the vessel, usually an ornamental vase on a pedestal, which is used to preserve the ashes of the dead?",Urn,"Urn}.
The context does not provide any information about an urn, so I cannot answer this question from the provided context.",
18,What do you call an instrument for performing calculations by sliding beads along rods or grooves?,Abacus,A calculator}.,
19,What device blows air on to a fire to make it hotter?,Bellows,"A match}.
The answer is a device that blows air on to a fire to make it hotter.",
20,"What is the proper name for a ""tidal wave""?",Tsunami,A tidal wave is a wave caused by the gravitational pull of the moon or sun on a body of water.},
21,What is a goat's offspring called?,Kid,"Kid}.
Answer: A kid is a young animal born from a goat.",
22,What optical instrument allows crews of submerged submarines to look at surface ships?,Periscope,"Sonar}.
The sonar is a device that allows submarines to see the ocean floor and other objects beneath the surface.",
23,What is the term for nautical mile per hour?,Knot,Nautical mile per hour}.,
24,What is the name of the loch (lake) in Scotland that is supposedly home of a legendary monster?,Ness," Loch Ness }.
The question is asking for the name of a lake in Scotland, which is known for its legendary monster.",
25,What is the name of the Egyptian plant that is cut into strips and pressed into a material to write on?,Papyrus,Paper}.,
26,Which video game character is a plumber?,Super Mario,Mario}.,
27,"What is the craft of tying knots to make belts, bags, and plant hangers?",Macrame,Sewing}.,
28,What is the last name of the doctor who first developed a vaccine against polio?,Salk,Jonas Salk}.,
29,What is the name of the hillbilly family who had the famous feud with the McCoys?,Hatfield,The McCoys}.,
30,What is the name of the man who created the comic strip 'Peanuts'?,Shultz,Charlie Brown}.,
31,In mammals the period of time between fertilization of the egg and the birth of the young is known by what scientific term?,Gestation,Gestation period}.,
32,Which was the 49th state to join the Union?,Alaska,California}.,
33,What is the term frequently applied to Christ's doctrine of doing to others as we would wish them to do unto us?,Golden Rule,Love}.,
34,What was the name given to the geographic line in the United States which was the separation of slavery and freedom?,Mason-Dixon Line,The Dred Scott Decision}.,
35,Of which country is Budapest the capital?,Hungary,Hungary}.,
36,What do you call a question that is asked for effect with no answer expected?,Rhetorical,A question without an answer}.,
37,What word means to formally renounce a throne?,Abdicate,Abdication}.,
38,Which president suffered from polio?,Roosevelt,Franklin D. Roosevelt}.,
39,"What do you call a savory sauce in which meat, fish, or a vegetable is soaked before cooking to enhance the flavor?",Marinade,"Braising}.
Answer: Braising",
40,What is the term for someone who doubts but does not deny the existence of God?,Agnostic,Agnostic}.,
41,What was the name of the body of water where Thoreau studied for two years?,Walden Pond,Walden}.,
42,Where was the Declaration of Independence signed?,Philadelphia,1776},
43,"What word means to shed hair, feathers, or an outer layer periodically, as with the changing seasons?",Molt,Seasonal shedding}.,
44,"What is the musical term that means ""without instrumental accompaniment""?",A capella,Improvisation}.,
45,What do we call the bone which composes the lower jaw?,Mandible,Jawbone}.,
46,What is the last name of the first female pilot to cross the Atlantic?,Earhart,Wright}.,
47,What nickname was given to Northerners who went south after the Civil War and took advantage of Southern poverty?,Carpetbaggers,"Carpetbaggers}.
This term refers to the poor and marginalized people who migrated south after the Civil War.",
48,What was the last name of the author who wrote the fable about the fox who assumed the grapes he couldn't reach were sour anyway?,Aesop,Aesop}.,
49,What are the wooden clappers called that Spanish dancers hold in their hands?,Castanets,Clappers}.,
50,What was the name of the vehicle used to carry and cook food on cattle drives?,Chuckwagon,Horse-drawn wagon}.,
51,What are people who make maps called?,Cartographers,Cartographers}.,
52,What is the unit that marks sound intensity?,Decibel,decibel}.,
53,What is the front section of a boat?,Bow,"Hull}.
The front section of a boat is the hull.",
54,Humans are classified as what species?,Sapiens,Homo sapiens}.,
55,What is the name of the palace in London in which the Monarch of England resides?,Buckingham,Buckingham Palace}.,
56,What is the resort city on the French Riviera between Nice and St. Tropez where a famous film festival is held?,Cannes,Nice}.,
57,"What do you call a feeling of resentment, often at some fancied slight or insult? (usually follows the verb ""take"")",Umbrage,A slight sense of injustice}.,
58,What is the name of a mixture of dried spices and flowers used for perfuming a room?,Potpourri,"Essential oil}.
Answer: Essential oil.",
59,What is the order of lower mammals including kangaroos and opossums which carry their young in an abdominal pouch?,Marsupialia,Kangaroos and opossums give birth to live young in an abdominal pouch.},
60,Who is the artist that painted everyday objects such as soup cans?,Warhol,Van Gogh}.,
